,flood,cso,wwtp,tank,pump
testall_87,25904.678408586413,4830.140554844839,-1161.4723394308535,0.0,185.24917116797403
testall_88,7887.272633528508,2484.417169450083,-820.3787025903425,0.0,87.29076400020668
testall_89,4934.336872294382,1258.162157157762,-840.309721216048,0.0,53.52444878968118
testall_90,18306.616724758216,4263.193342064685,-1097.9351231196865,0.0,160.49961444070172
testall_91,2470.521308316056,1310.859944646396,-804.4252305859882,0.0,50.09370418666449
testall_92,7531.578341363212,3154.453769883039,-942.5603653580645,0.0,111.49206051135643
testall_93,398.0717552578557,588.9355210226839,-695.5168653633261,0.0,34.20631986362462
testall_94,5231.200197682618,2405.413171792629,-906.7465360265603,0.0,90.12797093389082
testall_95,15668.26023715441,3813.473869689572,-1161.5027794233522,0.0,156.7582087233147
testall_96,32548.205757154872,5324.356218105635,-1251.4193564287712,6000.0,204.74902136798923
testall_97,962.038131290923,736.9071322616828,-695.5008940126329,0.0,33.096113939922205
testall_98,1783.3058723833583,1184.1561980932986,-732.0355928773838,0.0,41.510930415270835
testall_99,30782.689249917657,5142.347994243708,-1227.6124993803605,8000.0,206.3714014191354
total,1354145.9379504272,297142.6578382423,-95960.69361045156,590000.0,11897.547441001969
