(storm) D:\Zhiyu\GNN-UDS\surrogate>python maxred.py --env chaohu --act rand --pop_size 64 --processes 8 --rain_num 100 --rain_suffix chaohu_testall --result_dir maxred_all100 --termination n_gen 100
MaxRed configs: Namespace(act='rand', crossover=[1.0, 3.0], directed=False, env='chaohu', length=0, mutation=[1.0, 3.0], order=1, pop_size=64, processes=8, rain_dir='./envs/config/', rain_num=100, rain_suffix='chaohu_testall', result_dir='./results/chaohu/maxred_all100', sampling=0.4, setting_duration=10, termination=['n_gen', 100])
Runoff time: 46.26052403450012 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
    15 |      960 |  3.966632E+04 |  2.480724E+04
    16 |     1024 |  3.855834E+04 |  2.480724E+04
    17 |     1088 |  3.674285E+04 |  2.480724E+04
    18 |     1152 |  3.582195E+04 |  2.480724E+04
    19 |     1216 |  3.413728E+04 |  2.480724E+04
    20 |     1280 |  3.291241E+04 |  2.480724E+04
    21 |     1344 |  3.100598E+04 |  2.480724E+04
    22 |     1408 |  2.997232E+04 |  2.480724E+04
    23 |     1472 |  2.954773E+04 |  2.477422E+04
    24 |     1536 |  2.879142E+04 |  2.477422E+04
    25 |     1600 |  2.797339E+04 |  2.451476E+04
    26 |     1664 |  2.753584E+04 |  2.451476E+04
    27 |     1728 |  2.650515E+04 |  2.451476E+04
    28 |     1792 |  2.557402E+04 |  2.438745E+04
    29 |     1856 |  2.511334E+04 |  2.438745E+04
    30 |     1920 |  2.453933E+04 |  2.411457E+04
    31 |     1984 |  2.428676E+04 |  2.389129E+04
    32 |     2048 |  2.410312E+04 |  2.368727E+04
    33 |     2112 |  2.384863E+04 |  2.342043E+04
    34 |     2176 |  2.363631E+04 |  2.318802E+04
    35 |     2240 |  2.346582E+04 |  2.307324E+04
    36 |     2304 |  2.328508E+04 |  2.275651E+04
    37 |     2368 |  2.312397E+04 |  2.247582E+04
    38 |     2432 |  2.299795E+04 |  2.247582E+04
    39 |     2496 |  2.282633E+04 |  2.236611E+04
    40 |     2560 |  2.269129E+04 |  2.235231E+04
    41 |     2624 |  2.253604E+04 |  2.232391E+04
    42 |     2688 |  2.243070E+04 |  2.230060E+04
    43 |     2752 |  2.235346E+04 |  2.215307E+04
