,flood,cso,wwtp,tank,pump
testall_56,32103.8843207632,5197.436830710047,-1302.701531512692,54000.0,215.28828778724233
testall_57,5712.443352921795,2055.21208808366,-865.3339492960215,8000.0,81.19365903640445
testall_58,6991.889449263068,2404.858161783806,-1075.4952636323974,10000.0,106.89310908295994
testall_59,2900.021792958905,774.2953146631612,-732.7581900181503,3000.0,45.90770932401709
testall_60,1362.219520816051,714.9610778970857,-638.772018048022,1000.0,44.27997018372968
testall_61,7553.3392027308255,2414.5056375371782,-1111.4101258679239,7000.0,105.0187630403767
testall_62,19889.345892438876,3389.9325474452335,-1092.1069310536427,14000.0,138.25357735644516
testall_63,4337.833501345133,1777.7807421080079,-1006.8216425483662,8000.0,90.01408955098809
testall_64,44251.38483135701,4673.594149172857,-1406.4436047597687,66000.0,205.91758235390483
testall_65,12267.873947028515,2910.4849163726813,-1080.9444965359464,11000.0,128.08224223160488
testall_66,4984.939018966661,1356.6665869118347,-908.2814054776045,10000.0,71.27160208639314
testall_67,22134.365071568962,3868.991293855258,-1231.712327110952,30000.0,164.01970799687086
testall_68,4845.201693661964,1507.9784047063372,-913.3657878715007,5000.0,74.21142625662095
testall_69,10639.054261838217,2580.9288742174094,-1022.6052040615989,11000.0,113.88880661251545
testall_70,10039.628605200287,2302.8445885024635,-1011.960143863284,7000.0,100.0748690770497
testall_71,7892.4477959107,1474.5943685347302,-999.5869687242534,12000.0,90.92979201257471
testall_72,9279.475961814822,2200.794130589473,-974.750976436964,7000.0,102.05383685908933
testall_73,14191.374426450195,3813.1320038501453,-1142.510186823633,12000.0,155.0888107941679
testall_74,3197.233985683609,1551.41523772442,-930.3340904954517,2000.0,80.61529924197262
testall_75,53962.93072286359,5515.804553496039,-1358.1055167690738,81000.0,234.67382187423703
testall_76,19169.40982087976,3798.939226742218,-1252.116942833357,15000.0,156.98694749886351
testall_77,12074.368877385752,3304.726837724019,-1241.4093572552847,8000.0,147.54443689759435
testall_78,27296.541525146604,4485.434476388624,-1280.7038408758988,39000.0,180.48450464575387
testall_79,5328.606063763488,1845.2812171025284,-972.0586102491277,7000.0,85.52675273383494
testall_80,20914.776137581244,4084.0293181315283,-1242.5982480337166,34000.0,170.87553624451823
testall_81,4774.390449012413,1307.9249481038296,-799.5752735890032,8000.0,64.98648382032133
testall_82,9862.560029533848,2150.8432525108788,-906.8935521123793,14000.0,93.43885787710852
testall_83,16273.3999364585,3835.9290550343426,-1321.7154722047826,14000.0,168.52349157542002
testall_84,3069.8095615594384,1493.1456057503103,-764.2943605017015,3000.0,63.2644059244956
testall_85,2052.447653987755,1023.4004507108992,-787.260795156835,4000.0,50.5280022102509
testall_86,15064.37409129428,3613.4728819983147,-1193.7411956502756,13000.0,151.53019749131988
testall_87,27109.371619295864,3920.0944927077917,-1248.1415156758187,50000.0,163.04264639547432
testall_88,8466.243662955525,2106.5480487382165,-878.2356149524106,12000.0,93.36377633896075
testall_89,4785.346896589942,1473.8697585945777,-710.2236832988291,8000.0,67.7585642912361
testall_90,19035.863224594883,3360.529667992654,-1285.7281051696739,35000.0,146.95075218092222
testall_91,3012.9367174547947,951.2809251650649,-918.59313311316,6000.0,58.7304713897645
testall_92,8182.258384092925,2553.097725267555,-975.3675065797318,6000.0,115.95504498773525
testall_93,635.3797718252514,388.83868521212725,-469.9190087952708,0.0,26.73091168812983
testall_94,5493.465377951022,2089.3474943293186,-967.0091371239262,4000.0,95.69389777849632
testall_95,15997.292509031406,3658.8080168777497,-1154.4427499623155,15000.0,143.65855609800133
testall_96,33155.473704971024,4823.668000872551,-1396.6238226504986,40000.0,203.81422944977402
testall_97,958.549792281057,876.4087389105987,-805.875469644733,5000.0,54.49892044397815
testall_98,1939.3368600778047,888.7958913223649,-770.2584963607237,1000.0,47.46532338542968
testall_99,31202.542555094875,4371.756309769338,-1285.6667971825234,49000.0,176.57109609557156
total,1372499.9851974768,267536.46505998576,-105012.3016601971,1728000.0,11850.57710988216
