,Start,End,Date,Duration,Precipitation,Gage
118,07/16/2016 04:00:00,07/16/2016 07:35:00,07/16/2016,215.0,10.8,qb
119,07/19/2016 07:40:00,07/19/2016 08:50:00,07/19/2016,70.0,9.4,qb
120,07/29/2016 13:40:00,07/29/2016 14:50:00,07/29/2016,70.0,12.9,qb
121,08/02/2016 18:30:00,08/02/2016 18:50:00,08/02/2016,20.0,1.9,qb
122,08/02/2016 22:25:00,08/03/2016 04:30:00,08/02/2016,365.0,6.999999999999998,qb
123,08/03/2016 15:15:00,08/03/2016 15:35:00,08/03/2016,20.0,0.5,qb
124,08/03/2016 18:00:00,08/03/2016 18:15:00,08/03/2016,15.0,0.2,qb
125,08/03/2016 22:00:00,08/03/2016 22:40:00,08/03/2016,40.0,0.2,qb
126,08/04/2016 12:10:00,08/04/2016 14:45:00,08/04/2016,155.0,93.0,qb
127,08/09/2016 15:35:00,08/09/2016 16:35:00,08/09/2016,60.0,4.7,qb
128,08/09/2016 18:55:00,08/09/2016 19:15:00,08/09/2016,20.0,0.9,qb
129,08/10/2016 00:35:00,08/10/2016 00:40:00,08/10/2016,5.0,0.5,qb
130,08/10/2016 02:55:00,08/10/2016 03:15:00,08/10/2016,20.0,0.2,qb
131,08/19/2016 15:20:00,08/19/2016 15:25:00,08/19/2016,5.0,0.2,qb
132,08/26/2016 01:05:00,08/26/2016 04:25:00,08/26/2016,200.0,21.700000000000003,qb
133,09/02/2016 18:10:00,09/02/2016 18:35:00,09/02/2016,25.0,0.4,qb
134,09/07/2016 02:35:00,09/07/2016 10:50:00,09/07/2016,495.0,35.5,qb
135,09/07/2016 14:10:00,09/07/2016 16:05:00,09/07/2016,115.0,0.9,qb
136,09/11/2016 10:55:00,09/11/2016 21:30:00,09/11/2016,635.0,4.6999999999999975,qb
137,09/13/2016 19:15:00,09/13/2016 19:20:00,09/13/2016,5.0,0.3,qb
138,09/14/2016 02:15:00,09/14/2016 12:40:00,09/14/2016,625.0,28.3,qb
139,09/14/2016 14:50:00,09/14/2016 14:50:00,09/14/2016,0.0,0.1,qb
