,Node depth,Node inflow,Node outflow,Flooding,Edge depth,Edge volume,Edge flow,Accuracy,Precision,Recall,F1-score
r1_flood_nncat_2_vali,0.126871794,2.1477952,1.983506799,3.632953405,0.008954252,3.935140848,1.322431803,0.994629323,0.996088009,0.982073478,0.9890311
r1_flood_nncat_3_vali,0.104761131,2.389811754,7.228590012,4.15273571,0.009258406,4.121008396,1.496261954,0.994286282,0.997006477,0.978780516,0.987809432
r1_flood_nncat_4_vali,0.104811184,2.132802248,4.474893093,4.321053028,0.008788007,3.724769115,1.185749054,0.995853668,0.994297645,0.986419495,0.990342902
r1_gat_0_vali,0.099275544,2.665772915,2.73563242,4.814935684,0.010942508,4.733122349,1.02492547,0.456476934,0.285827614,0.99393611,0.443979434
r1_gat_1_vali,0.085674517,3.010756016,2.410060167,4.982148647,0.008566451,3.903233528,1.177089572,0.553035979,0.34050799,0.9885287,0.506535182
r1_gat_2_vali,0.079595752,3.337262392,2.665881634,5.900045872,0.006701024,2.885959148,1.033657432,0.541072308,0.348172702,0.987700759,0.514854815
r1_gat_3_vali,0.076488823,3.050812483,2.689253807,4.895320892,0.00892925,3.465598822,1.158651829,0.600751643,0.370735277,0.986702852,0.538964609
r1_gat_4_vali,0.077017404,2.908013821,2.301422358,4.711496353,0.007908652,3.255294085,1.011127234,0.558849746,0.327335076,0.992251003,0.492273391
r1_nncat_0_vali,0.099636406,1.702737451,1.668789029,3.560850143,0.011608939,4.677799702,1.168312311,0.576293192,0.339230544,0.992484998,0.505635348
r1_nncat_1_vali,0.106529482,1.915614605,7.999073982,10.41700745,0.009611721,4.085044384,1.260463595,0.565898938,0.347729224,0.994077388,0.51523037
r1_nncat_2_vali,0.126871794,2.1477952,1.983506799,4.755007267,0.008954252,3.935140848,1.322431803,0.625911255,0.396458886,0.99037912,0.566244365
r1_nncat_3_vali,0.104761131,2.389811754,7.228590012,9.105132103,0.009258406,4.121008396,1.496261954,0.500197777,0.320362178,0.992649315,0.484393775
r1_nncat_4_vali,0.104811184,2.132802248,4.474893093,6.822180748,0.008788007,3.724769115,1.185749054,0.624578082,0.364159893,0.994361264,0.533089219
r1_edgef_gat_0_vali,0.117878355,1.341218948,1.372960567,3.738632917,0.014657886,5.886770248,1.21500504,0.680255105,0.405396769,0.995337071,0.576135767
r1_edgef_gat_1_vali,0.07732337,1.189849973,1.220561385,3.858577967,0.009763841,4.250124454,1.06058526,0.60254543,0.368151333,0.995007073,0.537447708
r1_edgef_gat_2_vali,0.085943088,1.529522181,1.556293488,4.782166958,0.010814591,4.312612057,1.371507406,0.657028666,0.41788936,0.995201321,0.588616214
r1_edgef_gat_3_vali,0.082641438,1.151483655,1.227893114,3.898489952,0.008338542,3.448337317,1.067152023,0.619449759,0.382888458,0.995562132,0.553069153
r1_edgef_gat_4_vali,0.07996808,1.046719313,1.102682114,3.607990265,0.012673873,4.631291866,0.947222888,0.651527984,0.381801425,0.996185332,0.552029949
r1_flood_gat_0_test,0.083324783,2.869689941,2.939316034,5.000776291,0.010272701,4.35083437,1.101171017,0.995673595,0.996982028,0.985234103,0.991073252
r1_flood_gat_1_test,0.073873624,3.031976938,2.402878523,5.006848812,0.007921633,3.709233761,1.155755997,0.995446011,0.997946759,0.98334126,0.990590175
r1_flood_gat_2_test,0.070247836,2.987358809,2.313480139,4.925336361,0.006191382,2.647175074,0.905781388,0.995984621,0.998236271,0.985268438,0.991709964
r1_flood_gat_3_test,0.071338482,2.893352509,2.484251738,4.414033413,0.008391279,3.306190968,1.064179659,0.995466475,0.998474304,0.982903923,0.990627935
